,Unnamed: 0,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Latitude,Longitude
2926,2926,6200000,750,Mira Road East,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19.2948873,72.8678432
2927,2927,6000000,621,Shil Phata,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1125121,73.0095585
2928,2928,5500000,525,Shil Phata,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1125121,73.0095585
2929,2929,4000000,424,Shil Phata,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1125121,73.0095585
2930,2930,26000000,923,Andheri West,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0,19.1172495,72.833968
2931,2931,22200000,930,Andheri West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,19.1172495,72.833968
2932,2932,7500000,1015,Dombivli (West),2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19.2156856,73.092894
2933,2933,64300000,1259,Ville Parle West,3,1,1,1,0,0,1,1,1,1,1,0,0,0,1,19.1159409,72.8312863
2934,2934,4850000,300,Borivali West,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,19.2294561,72.8479905
2935,2935,2500000,450,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.97686135,73.0201311109118
2936,2936,39100000,707,Khar,2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,19.0689385,72.8401184
2937,2937,60500000,1195,Khar,3,1,1,1,0,0,0,1,1,1,0,0,0,1,1,19.0689385,72.8401184
2938,2938,34700000,832,Bandra Kurla Complex,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19.067115,72.8657245
2939,2939,36500000,965,Bandra Kurla Complex,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19.067115,72.8657245
2940,2940,25200000,1250,Andheri West,2,0,1,1,0,0,1,1,1,1,0,0,0,1,1,19.1172495,72.833968
2941,2941,105000000,2800,Juhu,4,0,1,1,0,0,0,0,0,1,0,0,1,0,0,19.1070215,72.8275275
2942,2942,3500000,650,Sector 5 Ulwe,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,18.97686135,73.0201311109118
2943,2943,4150000,650,Ulwe,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,18.97686135,73.0201311109118
2944,2944,7150000,1050,Ulwe,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,18.97686135,73.0201311109118
2945,2945,10500000,420,Andheri West,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,19.1172495,72.833968
2946,2946,14600000,586,Andheri West,2,1,1,1,1,0,1,1,1,1,1,0,0,1,1,19.1172495,72.833968
2947,2947,3500000,650,Ulwe,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,18.97686135,73.0201311109118
2948,2948,3500000,650,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.97686135,73.0201311109118
2949,2949,6800000,1050,Ulwe,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,18.97686135,73.0201311109118
2950,2950,8700000,580,Borivali West,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.2294561,72.8479905
2951,2951,10800000,550,Kandivali East,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,19.2103809,72.8640837
2952,2952,13000000,760,Borivali West,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.2294561,72.8479905
2953,2953,2300000,350,Vasai West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3511962,72.8936185
2954,2954,9000000,650,Borivali West,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,19.2294561,72.8479905
2955,2955,9000000,650,Borivali West,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.2294561,72.8479905
2956,2956,8200000,610,Borivali West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2294561,72.8479905
2957,2957,8700000,585,Vikhroli West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.114541,72.9257184
2958,2958,10000000,600,Vikhroli West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.114541,72.9257184
2959,2959,15500000,900,Borivali West,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,19.2294561,72.8479905
2960,2960,31500000,1600,Borivali West,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,19.2294561,72.8479905
2961,2961,8800000,650,Borivali West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2294561,72.8479905
2962,2962,21500000,1350,Borivali West,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19.2294561,72.8479905
2963,2963,8400000,605,Kandivali West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2084002,72.8422235
2964,2964,2500000,615,Virar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.451809,72.8068256
2965,2965,82000000,2044,Worli,3,0,1,0,0,0,1,1,1,1,0,1,0,1,1,19.0116962,72.8180702
2966,2966,5000000,950,Kalyan West,2,0,1,1,1,0,1,1,1,0,0,0,0,1,1,19.2156856,73.092894
